date,time,currency,impact,event
2026-01-09,14:30,USD,HIGH,Non-Farm Payrolls
2026-01-28,21:00,USD,HIGH,FOMC Rate Decision
2026-02-06,14:30,USD,HIGH,Non-Farm Payrolls
2026-02-13,13:15,EUR,HIGH,ECB Rate Decision
2026-02-05,12:00,GBP,HIGH,BOE Rate Decision
2026-03-06,14:30,USD,HIGH,Non-Farm Payrolls
2026-03-18,21:00,USD,HIGH,FOMC Rate Decision
2026-03-05,13:15,EUR,HIGH,ECB Rate Decision
2026-03-19,12:00,GBP,HIGH,BOE Rate Decision
2026-04-03,14:30,USD,HIGH,Non-Farm Payrolls
2026-04-29,21:00,USD,HIGH,FOMC Rate Decision
2026-04-16,13:15,EUR,HIGH,ECB Rate Decision
2026-04-07,12:00,GBP,HIGH,BOE Rate Decision
2026-05-08,14:30,USD,HIGH,Non-Farm Payrolls
2026-05-07,13:15,EUR,HIGH,ECB Rate Decision
2026-05-07,12:00,GBP,HIGH,BOE Rate Decision
2026-06-05,14:30,USD,HIGH,Non-Farm Payrolls
2026-06-17,21:00,USD,HIGH,FOMC Rate Decision
2026-06-04,13:15,EUR,HIGH,ECB Rate Decision
2026-06-04,12:00,GBP,HIGH,BOE Rate Decision
2026-07-10,14:30,USD,HIGH,Non-Farm Payrolls
2026-07-29,21:00,USD,HIGH,FOMC Rate Decision
2026-07-16,13:15,EUR,HIGH,ECB Rate Decision
2026-07-06,12:00,GBP,HIGH,BOE Rate Decision
2026-08-07,14:30,USD,HIGH,Non-Farm Payrolls
2026-09-04,14:30,USD,HIGH,Non-Farm Payrolls
2026-09-16,21:00,USD,HIGH,FOMC Rate Decision
2026-09-10,13:15,EUR,HIGH,ECB Rate Decision
2026-09-07,12:00,GBP,HIGH,BOE Rate Decision
2026-10-02,14:30,USD,HIGH,Non-Farm Payrolls
2026-10-28,21:00,USD,HIGH,FOMC Rate Decision
2026-11-06,14:30,USD,HIGH,Non-Farm Payrolls
2026-12-04,14:30,USD,HIGH,Non-Farm Payrolls
2026-12-16,21:00,USD,HIGH,FOMC Rate Decision
